UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3 
100654,"R",8610,"R",1134,"R",287,"R",8610,"R",1134,"R",287,"R",17220,"R",1134,"R",574,"R",10128,"R",1134,"R",422,"R",10128,"R",1134,"R",422,"R",20160,"R",1134,"R",840,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7770,"R",1596,"R",9366,"R",8130,"R",1236,"R",9366,"R",8379,"R",1478,"R",9857,"R",8610,"R",1134,"R",9744,.,.,"R",7770,"R",1596,"R",9366,"R",8130,"R",1236,"R",9366,"R",8379,"R",1478,"R",9857,"R",8610,"R",1134,"R",9744,.,.,"R",15540,"R",1596,"R",17136,"R",16260,"R",1236,"R",17496,"R",16758,"R",1478,"R",18236,"R",17220,"R",1134,"R",18354,.,.,"R",1600,"R",1600,"R",1600,"R",1600,"R",8140,"R",8830,"R",9020,"R",9128,"R",3790,"R",3090,"R",2580,"R",2990,"R",8140,"R",8830,"R",8379,"R",9128,"R",3790,"R",3090,"R",2580,"R",2990,"R",3790,"R",3090,"R",2580,"R",2990
100663,"R",8568,"R",0,"R",357,"R",8568,"R",0,"R",357,"R",19704,"R",0,"R",821,"R",8100,"R",0,"R",450,"R",8100,"R",0,"R",450,"R",18540,"R",0,"R",1030,"Y",.,"Y",.,"Y",.,"Y",.,"R",27744,"R",0,"R",64264,"R",0,"R",28410,"R",0,"R",62714,"R",0,"R",26640,"R",0,"R",54012,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",7766,"R",0,"R",7766,"R",8040,"R",0,"R",8040,"R",8328,"R",0,"R",8328,"R",8568,"R",0,"R",8568,.,.,"R",7766,"R",0,"R",7766,"R",8040,"R",0,"R",8040,"R",8328,"R",0,"R",8328,"R",8568,"R",0,"R",8568,.,.,"R",17654,"R",0,"R",17654,"R",18368,"R",0,"R",18368,"R",19032,"R",0,"R",19032,"R",19704,"R",0,"R",19704,.,.,"R",1200,"R",1200,"R",1200,"R",1200,"R",10809,"R",11682,"R",11682,"R",11682,"R",4886,"R",4886,"R",4886,"R",4886,"R",10809,"R",11682,"R",11682,"R",11682,"R",4886,"R",4886,"R",4886,"R",4886,"R",4886,"R",4886,"R",4886,"R",4886
100690,"R",9000,"R",900,"R",450,"R",9000,"R",900,"R",450,"R",9000,"R",900,"R",450,"R",11700,"R",1300,"R",750,"R",11700,"R",1300,"R",750,"R",11700,"R",1300,"R",750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6000,"R",1180,"R",7180,"R",6000,"R",1180,"R",7180,"R",6000,"R",900,"R",6900,"R",6000,"R",900,"R",6900,5,5,"R",6000,"R",1180,"R",7180,"R",6000,"R",1180,"R",7180,"R",6000,"R",900,"R",6900,"R",6000,"R",900,"R",6900,5,5,"R",6000,"R",1180,"R",7180,"R",6000,"R",1180,"R",7180,"R",6000,"R",900,"R",6900,"R",6000,"R",900,"R",6900,5,5,"R",1500,"R",1500,"R",1500,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9600,"R",9600,"R",9600,"R",9600,"R",1500,"R",1600,"R",1600,"R",1600,"R",1500,"R",1600,"R",1600,"R",1600
100706,"R",9730,"R",984,"R",427,"R",9730,"R",984,"R",427,"R",21378,"R",984,"R",944,"R",10632,"R",582,"R",662,"R",10632,"R",582,"R",662,"R",23604,"R",582,"R",1458,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9128,"R",0,"R",9128,"R",8996,"R",846,"R",9842,"R",9356,"R",924,"R",10280,"R",9730,"R",984,"R",10714,.,.,"R",9128,"R",0,"R",9128,"R",8996,"R",846,"R",9842,"R",9356,"R",924,"R",10280,"R",9730,"R",984,"R",10714,.,.,"R",20622,"R",0,"R",20622,"R",19766,"R",846,"R",20612,"R",20556,"R",924,"R",21480,"R",21378,"R",984,"R",22362,.,.,"R",1639,"R",1688,"R",1956,"R",2034,"R",9205,"R",9603,"R",9748,"R",10094,"R",4508,"R",3578,"R",3697,"R",3808,"R",9205,"R",9603,"R",9748,"R",8875,"R",4508,"R",3578,"R",3697,"R",3808,"R",4508,"R",3578,"R",3697,"R",3808
100724,"R",8328,"R",2740,"R",347,"R",8328,"R",2740,"R",347,"R",16656,"R",2740,"R",694,"R",9888,"R",2740,"R",412,"R",9888,"R",2740,"R",412,"R",19776,"R",2740,"R",824,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6936,"R",2034,"R",8970,"R",6936,"R",2284,"R",9220,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,.,.,"R",6939,"R",2034,"R",8973,"R",6936,"R",2284,"R",9220,"R",8328,"R",2740,"R",11068,"R",8328,"R",2740,"R",11068,.,.,"R",13872,"R",2034,"R",15906,"R",13872,"R",2284,"R",16156,"R",16656,"R",2740,"R",19396,"R",16656,"R",2740,"R",19396,.,.,"R",1600,"R",1600,"R",1600,"R",1600,"R",5422,"R",5422,"R",5422,"R",6050,"R",3392,"R",3392,"R",3392,"R",3392,"R",7320,"R",7320,"R",7320,"R",7320,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228,"R",4228
100751,"R",10780,"R",0,"R",586,"R",10780,"R",0,"R",586,"R",29230,"R",0,"R",1390,"R",10780,"R",0,"R",640,"R",10780,"R",0,"R",640,"R",29230,"R",0,"R",1529,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",28410,"R",0,"R",62714,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",23610,"R",0,"R",41870,"R",0,"R",10170,"R",0,"R",10170,"R",10470,"R",0,"R",10470,"R",10780,"R",0,"R",10780,"R",10780,"R",0,"R",10780,.,.,"R",10170,"R",0,"R",10170,"R",10470,"R",0,"R",10470,"R",10780,"R",0,"R",10780,"R",10780,"R",0,"R",10780,.,.,"R",25950,"R",0,"R",25950,"R",26950,"R",0,"R",26950,"R",28100,"R",0,"R",28100,"R",29230,"R",0,"R",29230,.,.,"R",1200,"R",1200,"R",1200,"R",1200,"R",12880,"R",13050,"R",13324,"R",13402,"R",4172,"R",4116,"R",4120,"R",4490,"R",12880,"R",13050,"R",13324,"R",13402,"R",4172,"R",4116,"R",4120,"R",4490,"R",5584,"R",5140,"R",5430,"R",5520
100760,"R",3870,"R",870,"R",129,"R",3870,"R",870,"R",129,"R",7740,"R",870,"R",258,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3450,"R",870,"R",4320,"R",3510,"R",870,"R",4380,"R",3570,"R",870,"R",4440,"R",3870,"R",870,"R",4740,.,.,"R",3450,"R",870,"R",4320,"R",3510,"R",870,"R",4380,"R",3570,"R",870,"R",4440,"R",3870,"R",870,"R",4740,.,.,"R",6900,"R",870,"R",7770,"R",7020,"R",870,"R",7890,"R",7140,"R",870,"R",8010,"R",7740,"R",870,"R",8610,.,.,"R",1400,"R",1400,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7402,"R",7200,"R",5400,"R",5400,"R",6241,"R",3400,"R",2450,"R",2450,"R",3961,"R",2850,"R",2450,"R",2700
100812,"R",6060,"R",750,"R",202,"R",6060,"R",750,"R",202,"R",12120,"R",750,"R",404,"R",7968,"R",0,"R",332,"R",7968,"R",0,"R",332,"R",7968,"R",0,"R",332,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100830,"R",7536,"R",868,"R",314,"R",7536,"R",868,"R",314,"R",16944,"R",868,"R",706,"R",7146,"R",766,"R",397,"R",7146,"R",766,"R",397,"R",16056,"R",766,"R",892,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8700,"R",650,"R",9350,"R",8880,"R",760,"R",9640,"R",7320,"R",700,"R",8020,"R",7536,"R",868,"R",8404,.,.,"R",8700,"R",650,"R",9350,"R",8880,"R",760,"R",9640,"R",7320,"R",700,"R",8020,"R",7536,"R",868,"R",8404,.,.,"R",19560,"R",650,"R",20210,"R",19950,"R",760,"R",20710,"R",16440,"R",700,"R",17140,"R",16944,"R",868,"R",17812,.,.,"R",1100,"R",1100,"R",1100,"R",1200,"R",5520,"R",5650,"R",6980,"R",6980,"R",3414,"R",3690,"R",3690,"R",3730,"R",9120,"R",9657,"R",10107,"R",10289,"R",3414,"R",3690,"R",3690,"R",3730,"R",3532,"R",3690,"R",3690,"R",3730
100858,"R",9624,"R",1652,"R",401,"R",9624,"R",1652,"R",401,"R",28872,"R",1652,"R",1203,"R",9630,"R",1652,"R",535,"R",9630,"R",1652,"R",535,"R",28890,"R",1652,"R",1605,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",9630,"R",12198,"R",28890,"R",12198,"Y",.,"Y",.,"Y",.,"Y",.,"R",9630,"R",10716,"R",28890,"R",18716,"Y",.,"Y",.,"Y",.,"Y",.,"R",8808,"R",1616,"R",10424,"R",9072,"R",1624,"R",10696,"R",9336,"R",1632,"R",10968,"R",9624,"R",1652,"R",11276,.,.,"R",8808,"R",1616,"R",10424,"R",9072,"R",1624,"R",10696,"R",9336,"R",1632,"R",10968,"R",9624,"R",1652,"R",11276,.,.,"R",26424,"R",1616,"R",28040,"R",27216,"R",1624,"R",28840,"R",28008,"R",1632,"R",29640,"R",28872,"R",1652,"R",30524,.,.,"R",1200,"R",1200,"R",1200,"R",1200,"R",12584,"R",12898,"R",13332,"R",13332,"R",5586,"R",5664,"R",5782,"R",5782,"R",12584,"R",12898,"R",13332,"R",13332,"R",5586,"R",5664,"R",5782,"R",5782,"R",5586,"R",5664,"R",5782,"R",5782
100937,"R",16402,"R",1248,"R",684,"R",16402,"R",1248,"R",684,"R",16402,"R",1248,"R",684,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",31954,"R",1174,"R",33128,"R",33200,"R",1248,"R",34448,"R",34544,"R",1260,"R",35804,"R",16402,"R",1248,"R",17650,.,.,"R",31954,"R",1174,"R",33128,"R",33200,"R",1248,"R",34448,"R",34544,"R",1260,"R",35804,"R",16402,"R",1248,"R",17650,.,.,"R",31954,"R",1174,"R",33128,"R",33200,"R",1248,"R",34448,"R",34544,"R",1260,"R",35804,"R",16402,"R",1248,"R",17650,.,.,"R",1260,"R",1260,"R",1260,"R",1260,"R",11350,"R",11960,"R",12350,"R",12500,"R",2772,"R",2772,"R",3000,"R",2990,"R",8000,"R",8000,"R",8000,"R",8000,"R",4272,"R",4272,"R",4500,"R",4490,"R",4272,"R",4272,"R",4500,"R",4490
101028,"R",3870,"R",868,"R",129,"R",3870,"R",868,"R",129,"R",7740,"R",868,"R",258,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3450,"R",930,"R",4380,"R",3510,"R",930,"R",4440,"R",3570,"R",930,"R",4500,"R",3870,"R",868,"R",4738,.,.,"R",3450,"R",930,"R",4380,"R",3510,"R",930,"R",4440,"R",3570,"R",930,"R",4500,"R",3870,"R",868,"R",4738,.,.,"R",6900,"R",930,"R",7830,"R",7020,"R",930,"R",7950,"R",7140,"R",930,"R",8070,"R",7740,"R",868,"R",8608,.,.,"R",1200,"R",1400,"R",1400,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5400,"R",5400,"R",5400,"R",5400,"R",1800,"R",2950,"R",2950,"R",1800,"R",1800,"R",2850,"R",2850,"R",1800
101116,"R",16920,"R",94,"R",559,"R",16920,"R",94,"R",559,"R",16920,"R",94,"R",559,"R",16620,"R",219,"R",813,"R",16620,"R",219,"R",813,"R",16620,"R",219,"R",813,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16665,"R",96,"R",16761,"R",17210,"R",96,"R",17306,"R",16920,"R",94,"R",17014,"R",16920,"R",94,"R",17014,.,.,"R",16665,"R",96,"R",16761,"R",17210,"R",96,"R",17306,"R",16920,"R",94,"R",17014,"R",16920,"R",94,"R",17014,.,.,"R",16665,"R",96,"R",16761,"R",17210,"R",96,"R",17306,"R",16920,"R",94,"R",17014,"R",16920,"R",94,"R",17014,.,.,"R",1500,"R",1500,"R",1500,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3756,"R",6377,"R",6328,"R",6652,"R",5202,"R",5433,"R",5612,"R",5899,"R",8095,"R",3803,"R",3928,"R",4129
101143,"R",3870,"R",870,"R",129,"R",3870,"R",870,"R",129,"R",7740,"R",870,"R",258,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3450,"R",870,"R",4320,"R",3510,"R",870,"R",4380,"R",3570,"R",870,"R",4440,"R",3870,"R",870,"R",4740,.,.,"R",3450,"R",870,"R",4320,"R",3510,"R",870,"R",4380,"R",3570,"R",870,"R",4440,"R",3870,"R",870,"R",4740,.,.,"R",6900,"R",870,"R",7770,"R",7020,"R",870,"R",7890,"R",7140,"R",870,"R",8010,"R",7740,"R",870,"R",8610,.,.,"R",1000,"R",1000,"R",1000,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5400,"R",5400,"R",5400,"R",5400,"R",2696,"R",2696,"R",2696,"R",2696,"R",2696,"R",2696,"R",2696,"R",2696
101161,"R",3870,"R",870,"R",129,"R",3870,"R",870,"R",129,"R",7740,"R",870,"R",258,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3450,"R",870,"R",4320,"R",3540,"R",870,"R",4410,"R",3510,"R",870,"R",4380,"R",3870,"R",870,"R",4740,.,.,"R",3450,"R",870,"R",4320,"R",3540,"R",870,"R",4410,"R",3510,"R",870,"R",4380,"R",3870,"R",870,"R",4740,.,.,"R",6900,"R",870,"R",7770,"R",6930,"R",870,"R",7800,"R",7020,"R",870,"R",7890,"R",7740,"R",870,"R",8610,.,.,"R",1450,"R",1450,"R",1550,"R",1450,"R",5800,"R",5800,"R",5800,"R",5900,"R",2110,"R",2210,"R",2310,"R",4346,"R",3700,"R",3700,"R",3900,"R",6215,"R",3320,"R",3220,"R",3620,"R",4619,"R",2928,"R",2908,"R",3204,"R",4519
101189,"R",19880,"R",1810,"R",675,"R",19880,"R",1810,"R",675,"R",19880,"R",1810,"R",675,"R",9750,"R",1410,"R",540,"R",9750,"R",1410,"R",540,"R",9750,"R",1410,"R",540,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",39000,"R",370,"R",39000,"R",370,"R",17500,"R",1780,"R",19280,"R",18320,"R",1810,"R",20130,"R",19160,"R",1810,"R",20970,"R",19880,"R",1810,"R",21690,.,.,"R",17500,"R",1780,"R",19280,"R",18320,"R",1810,"R",20130,"R",19160,"R",1810,"R",20970,"R",19880,"R",1810,"R",21690,.,.,"R",17500,"R",1780,"R",19280,"R",18320,"R",1810,"R",20130,"R",19160,"R",1810,"R",20970,"R",19880,"R",1810,"R",21690,.,.,"R",1800,"R",1800,"R",1800,"R",1800,"R",7130,"R",7230,"R",7400,"R",7750,"R",4200,"R",4200,"R",4200,"R",4200,"R",8000,"R",8000,"R",8000,"R",8000,"R",4700,"R",4700,"R",4700,"R",4700,"R",4200,"R",4700,"R",4700,"R",4700
101240,"R",3870,"R",930,"R",124,"R",3870,"R",930,"R",124,"R",7890,"R",930,"R",258,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2760,"R",456,"R",3216,"R",2808,"R",456,"R",3264,"R",2856,"R",744,"R",3600,"R",3096,"R",744,"R",3840,.,.,"R",2760,"R",456,"R",3216,"R",2808,"R",456,"R",3264,"R",2856,"R",744,"R",3600,"R",3096,"R",744,"R",3840,.,.,"R",5520,"R",456,"R",5976,"R",5616,"R",456,"R",6072,"R",5712,"R",744,"R",6456,"R",6312,"R",744,"R",7056,.,.,"R",1500,"R",1500,"R",1500,"R",1500,"R",3600,"R",3600,"R",3600,"R",3600,"R",2324,"R",2324,"R",2325,"R",2325,"R",4500,"R",4500,"R",4500,"R",4500,"R",2917,"R",2917,"R",2916,"R",2916,"R",2917,"R",2917,"R",2916,"R",2916
101286,"R",3870,"R",810,"R",129,"R",3870,"R",810,"R",129,"R",7740,"R",810,"R",258,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3450,"R",810,"R",4260,"R",3510,"R",810,"R",4320,"R",3570,"R",810,"R",4380,"R",3870,"R",810,"R",4680,.,.,"R",3450,"R",810,"R",4260,"R",3510,"R",810,"R",4320,"R",3570,"R",810,"R",4380,"R",3870,"R",810,"R",4680,.,.,"R",6900,"R",810,"R",7710,"R",7020,"R",810,"R",7830,"R",7140,"R",810,"R",7950,"R",7740,"R",810,"R",8550,.,.,"R",1900,"R",1900,"R",1900,"R",1900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2983,"R",2983,"R",2983,"R",2983,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467
