UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,STUFACR,XSTUFACR
100654,R,1402,R,1676,R,84,R,1288,R,0,R,0,R,1288,R,784,R,61,R,6,R,0,R,0,R,6,R,6,R,100,20,R
100663,R,2245,R,3965,R,57,R,2207,R,8,R,0,R,2199,R,1800,R,82,R,71,R,0,R,0,R,71,R,33,R,46,19,R
100690,R,1,R,289,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,12,R
100706,R,1428,R,2392,R,60,R,1340,R,2,Z,0,R,1338,R,1109,R,83,R,11,R,0,Z,0,R,11,R,1,R,9,17,R
100724,R,1025,R,1185,R,86,R,951,R,0,R,0,R,951,R,558,R,59,R,16,R,0,R,0,R,16,R,2,R,13,15,R
100751,R,6632,R,8442,R,79,R,7385,R,2,R,0,R,7383,R,6488,R,88,R,22,R,0,R,0,R,22,R,14,R,64,22,R
100760,R,315,R,775,R,41,R,349,R,0,R,0,R,349,R,191,R,55,R,44,R,0,R,0,R,44,R,15,R,34,18,R
100812,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,15,R
100830,R,730,R,1330,R,55,R,627,R,0,R,0,R,627,R,420,R,67,R,25,R,0,R,0,R,25,R,15,R,60,17,R
100858,R,4744,R,6317,R,75,R,4771,R,7,R,0,R,4764,R,4287,R,90,R,65,R,6,R,0,R,59,R,44,R,75,19,R
100937,R,328,R,374,R,88,R,349,R,0,R,0,R,349,R,279,R,80,A,,A,,A,,A,,A,,A,,12,R
101028,R,329,R,743,R,44,R,276,R,0,R,0,R,276,R,150,R,54,R,65,R,0,R,0,R,65,R,15,R,23,17,R
101116,R,7,R,71,R,10,R,6,R,0,R,0,R,6,R,2,R,33,R,1,R,0,R,0,R,1,R,0,R,0,10,R
101143,R,317,R,841,R,38,R,306,R,0,R,0,R,306,R,167,R,55,R,97,R,0,R,0,R,97,R,33,R,34,18,R
101161,R,1441,R,3652,R,39,R,1516,R,0,Z,0,R,1516,R,855,R,56,R,270,R,0,R,0,R,270,R,89,R,33,22,R
101189,R,254,R,924,R,27,R,311,R,0,R,0,R,311,R,169,R,54,R,14,R,0,R,0,R,14,R,8,R,57,12,R
101240,R,865,R,1835,R,47,R,888,R,0,R,0,R,888,R,484,R,55,R,216,R,0,R,0,R,216,R,109,R,50,17,R
101277,A,,A,,A,,R,31,R,0,R,0,R,31,R,30,R,97,A,,A,,A,,A,,A,,A,,20,R
101286,R,658,R,1708,R,39,R,705,Z,0,Z,0,R,705,R,412,R,58,R,217,Z,0,Z,0,R,217,R,103,R,47,17,R
101295,R,934,R,1880,R,50,R,1003,R,0,Z,0,R,1003,R,630,R,63,R,300,R,0,Z,0,R,300,R,150,R,50,16,R
101301,R,279,R,590,R,47,R,266,Z,0,Z,0,R,266,R,167,R,63,R,16,Z,0,Z,0,R,16,R,3,R,19,13,R
101365,R,16,R,150,R,11,R,2,R,0,R,0,R,2,R,1,R,50,R,1,R,0,R,0,R,1,R,0,R,0,14,R
101435,R,248,R,323,R,77,R,294,R,0,R,0,R,294,R,197,R,67,R,0,R,0,R,0,R,0,R,0,A,,14,R
101453,R,4,R,10,R,40,R,8,R,0,R,0,R,8,R,8,R,100,R,0,R,0,R,0,R,0,R,0,A,,8,R
101462,R,74,R,378,R,20,R,90,R,0,R,0,R,90,R,31,R,34,R,35,R,0,R,0,R,35,R,12,R,34,15,R
101471,R,208,R,293,R,71,R,202,R,0,R,0,R,202,R,145,R,72,R,60,R,0,R,0,R,60,R,26,R,43,11,R
101480,R,1060,R,2244,R,47,R,1115,R,0,R,0,R,1115,R,841,R,75,R,32,R,0,R,0,R,32,R,14,R,44,18,R
101505,R,1031,R,4255,R,24,R,983,R,0,R,0,R,983,R,564,R,57,R,733,R,0,R,0,R,733,R,309,R,42,20,R
101514,R,1182,R,3677,R,32,R,1072,R,0,R,0,R,1072,R,673,R,63,R,889,R,1,R,0,R,888,R,370,R,42,23,R
101541,R,62,R,90,R,69,R,65,R,0,R,0,R,65,R,40,R,62,R,3,R,0,R,0,R,3,R,0,R,0,5,R
101569,R,679,R,1484,R,46,R,715,R,0,R,0,R,715,R,365,R,51,R,197,R,0,R,0,R,197,R,71,R,36,16,R
101587,R,413,R,771,R,54,R,460,Z,0,Z,0,R,460,R,287,R,62,R,1,Z,0,Z,0,R,1,R,1,R,100,14,R
101602,R,377,R,877,R,43,R,415,R,0,R,0,R,415,R,236,R,57,R,50,R,0,R,0,R,50,R,26,R,52,17,R
101648,R,230,R,241,R,95,R,281,R,0,R,0,R,281,R,126,R,45,A,,A,,A,,A,,A,,A,,14,R
101675,R,348,R,504,R,69,R,307,R,0,R,0,R,307,R,167,R,54,R,2,R,0,R,0,R,2,R,0,R,0,16,R
101693,R,241,R,716,R,34,R,226,R,0,R,0,R,226,R,171,R,76,R,0,R,0,R,0,R,0,R,0,A,,13,R
101709,R,488,R,645,R,76,R,482,R,0,R,0,R,482,R,366,R,76,R,5,R,0,R,0,R,5,R,3,R,60,13,R
101736,R,639,R,1539,R,42,R,677,R,0,R,0,R,677,R,397,R,59,R,136,R,0,R,0,R,136,R,60,R,44,19,R
101879,R,987,R,1920,R,51,R,1108,R,1,R,0,R,1107,R,834,R,75,R,20,R,0,R,0,R,20,R,7,R,35,19,R
101897,R,474,R,1224,R,39,R,496,R,0,Z,0,R,496,R,316,R,64,R,127,R,0,R,0,R,127,R,77,R,61,18,R
101912,R,316,R,392,R,81,R,366,R,0,R,0,R,366,R,261,R,71,R,2,R,0,R,0,R,2,R,0,R,0,11,R
101994,R,68,R,212,R,32,R,55,R,0,R,0,R,55,R,27,R,49,R,7,R,0,R,0,R,7,R,2,R,29,12,R
102030,R,624,R,1370,R,46,R,647,R,0,R,0,R,647,R,298,R,46,R,165,R,0,R,0,R,165,R,48,R,29,19,R
102049,R,958,R,1089,R,88,R,857,R,0,R,0,R,857,R,774,R,90,R,0,R,0,R,0,R,0,R,0,A,,12,R
102058,P,50,P,187,P,27,P,46,P,0,P,0,P,46,P,15,P,33,P,0,P,0,P,0,P,0,P,0,A,,13,P
102067,R,756,R,1654,R,46,R,795,R,0,R,0,R,795,R,459,R,58,R,373,R,0,R,0,R,373,R,149,R,40,19,R
102076,R,449,R,963,R,47,R,539,R,0,R,0,R,539,R,336,R,62,R,69,R,0,R,0,R,69,R,27,R,39,21,R
102094,R,1892,R,2894,R,65,R,1868,R,0,R,0,R,1868,R,1390,R,74,R,15,R,0,R,0,R,15,R,7,R,47,18,R
102234,R,309,R,333,R,93,R,395,R,0,R,0,R,395,R,285,R,72,A,,A,,A,,A,,A,,A,,13,R
102270,R,144,R,340,R,42,R,118,R,0,R,0,R,118,R,80,R,68,R,45,R,0,R,0,R,45,R,2,R,4,15,R
102298,R,275,R,399,R,69,R,157,R,0,R,0,R,157,R,110,R,70,R,3,R,0,R,0,R,3,R,2,R,67,22,R
102313,R,265,R,865,R,31,R,289,R,0,R,0,R,289,R,154,R,53,R,152,R,0,R,0,R,152,R,55,R,36,14,R
102368,R,1691,R,3512,R,48,R,1866,R,0,R,0,R,1866,R,1358,R,73,R,209,R,0,R,0,R,209,R,70,R,33,16,R
102377,R,561,R,660,R,85,R,615,R,0,R,0,R,615,R,433,R,70,R,1,R,0,R,0,R,1,R,1,R,100,14,R
102395,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,8,R
102429,R,606,R,1644,R,37,R,646,R,0,Z,0,R,646,R,395,R,61,R,174,R,0,R,0,R,174,R,79,R,45,16,R
102553,R,1151,R,2312,R,50,R,946,Z,0,Z,0,R,946,R,633,R,67,R,252,Z,0,Z,0,R,252,R,119,R,47,14,R
102580,R,9,R,20,R,45,R,1,R,0,R,0,R,1,R,1,R,100,R,0,R,0,R,0,R,0,R,0,A,,6,R
102614,R,584,R,1640,R,36,R,387,Z,0,Z,0,R,387,R,284,R,73,R,33,Z,0,Z,0,R,33,R,20,R,61,11,R
102632,R,164,R,489,R,34,R,70,Z,0,Z,0,R,70,R,52,R,74,R,6,Z,0,Z,0,R,6,R,3,R,50,10,R
102669,R,36,R,119,R,30,R,32,R,0,R,0,R,32,R,26,R,81,R,3,R,0,R,0,R,3,R,2,R,67,7,R
102711,A,,A,,A,,R,143,R,0,R,0,R,143,R,135,R,94,R,713,R,0,R,0,R,713,R,695,R,97,15,R
102845,A,,A,,A,,R,2,R,0,R,0,R,2,R,1,R,50,A,,A,,A,,A,,A,,A,,25,R
103501,A,,A,,A,,R,255,R,0,R,0,R,255,R,184,R,72,A,,A,,A,,A,,A,,A,,15,R
103741,A,,A,,A,,R,39,R,0,Z,0,R,39,R,27,R,69,R,9,R,0,Z,0,R,9,R,5,R,56,18,R
103893,A,,A,,A,,R,122,Z,0,Z,0,R,122,R,83,R,68,Z,0,Z,0,Z,0,R,0,R,0,A,,39,R
103909,A,,A,,A,,R,70,Z,0,Z,0,R,70,R,43,R,61,Z,0,Z,0,Z,0,R,0,R,0,A,,26,R
103927,A,,A,,A,,R,57,Z,0,Z,0,R,57,R,33,R,58,Z,0,Z,0,Z,0,R,0,R,0,A,,34,R
103945,A,,A,,A,,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,11,R
103954,A,,A,,A,,R,2,R,0,R,0,R,2,R,0,R,0,A,,A,,A,,A,,A,,A,,20,R
103963,A,,A,,A,,R,298,Z,0,Z,0,R,298,R,165,R,55,A,,A,,A,,A,,A,,A,,22,R
104090,A,,A,,A,,R,74,Z,0,Z,0,R,74,R,18,R,24,R,142,Z,0,Z,0,R,142,R,93,R,65,16,R
104151,R,8809,R,12232,R,72,R,7822,R,72,R,0,R,7750,R,6793,R,88,R,52,R,2,R,0,R,50,R,24,R,48,19,R
104160,R,762,R,2778,R,27,R,647,R,0,R,0,R,647,R,429,R,66,R,1081,R,0,R,0,R,1081,R,468,R,43,18,R
104179,R,6011,R,10467,R,57,R,5902,R,27,R,0,R,5875,R,4773,R,81,R,1458,R,0,R,0,R,1458,R,929,R,64,15,R
104188,R,23,R,43,R,53,R,16,R,0,R,0,R,16,R,13,R,81,R,0,R,0,R,0,R,0,R,0,A,,10,R
104346,R,595,R,2067,R,29,R,514,R,0,R,0,R,514,R,275,R,54,R,659,R,0,R,0,R,659,R,188,R,29,17,R
104391,A,,A,,A,,R,48,R,1,R,0,R,47,R,42,R,89,A,,A,,A,,A,,A,,A,,18,R
104425,R,519,R,961,R,54,R,444,R,0,R,0,R,444,R,279,R,63,R,183,R,0,R,0,R,183,R,78,R,43,16,R
104434,A,,A,,A,,R,16,R,0,Z,0,R,16,R,13,R,81,A,,A,,A,,A,,A,,A,,16,R
104443,A,,A,,A,,R,18,R,0,Z,0,R,18,R,10,R,56,R,4,R,0,Z,0,R,4,R,2,R,50,13,R
104504,A,,A,,A,,R,17,Z,0,Z,0,R,17,R,13,R,76,R,13,Z,0,Z,0,R,13,R,10,R,77,30,R
104568,A,,A,,A,,R,103,R,0,R,0,R,103,R,92,R,89,R,118,R,0,R,0,R,118,R,108,R,92,17,R
104577,R,496,R,1395,R,36,R,350,Z,0,R,0,R,350,R,223,R,64,R,247,Z,0,R,0,R,247,R,86,R,35,17,R
104586,R,609,R,715,R,85,R,678,R,0,R,0,R,678,R,552,R,81,R,3,R,0,R,0,R,3,R,2,R,67,17,R
104708,R,1533,R,4735,R,32,R,1680,R,0,Z,0,R,1680,R,1067,R,64,R,1042,R,0,Z,0,R,1042,R,452,R,43,22,R
104717,R,2725,R,18010,R,15,R,2399,R,0,R,0,R,2399,R,1528,R,64,R,992,R,2,R,0,R,990,R,358,R,36,20,R
105145,R,295,R,1564,R,19,R,312,R,0,Z,0,R,312,R,178,R,57,R,261,R,0,Z,0,R,261,R,116,R,44,15,R
105154,R,1471,R,5806,R,25,R,1375,R,0,Z,0,R,1375,R,903,R,66,R,1004,R,0,Z,0,R,1004,R,407,R,41,22,R
105206,R,126,R,760,R,17,R,153,R,0,R,0,R,153,R,79,R,52,R,346,R,0,R,0,R,346,R,136,R,39,13,R
105215,A,,A,,A,,R,129,R,0,R,0,R,129,R,105,R,81,A,,A,,A,,A,,A,,A,,32,R
105297,R,135,R,342,R,39,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,14,R
105330,R,5047,R,8748,R,58,R,5260,R,1,R,0,R,5259,R,3863,R,73,R,637,R,2,R,0,R,635,R,309,R,49,19,R
105349,R,32,R,1570,R,2,R,70,R,0,R,0,R,70,R,31,R,44,R,145,R,0,R,0,R,145,R,45,R,31,15,R
105367,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,8,R
105428,R,648,R,3203,R,20,R,641,R,0,Z,0,R,641,R,376,R,59,R,598,R,0,Z,0,R,598,R,212,R,35,19,R
105482,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,15,R
105525,R,1468,R,5706,R,26,R,2129,R,1,R,0,R,2128,R,1266,R,59,R,2345,R,0,R,0,R,2345,R,942,R,40,19,R
105534,A,,A,,A,,R,0,Z,0,Z,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,25,R
105543,A,,A,,A,,R,75,R,0,R,0,R,75,R,53,R,71,A,,A,,A,,A,,A,,A,,25,R
105589,R,45,R,136,R,33,R,64,R,0,R,0,R,64,R,46,R,72,A,,A,,A,,A,,A,,A,,9,R
105659,A,,A,,A,,R,187,R,0,R,0,R,187,R,140,R,75,A,,A,,A,,A,,A,,A,,34,R
105668,R,94,R,4752,R,2,R,77,R,0,Z,0,R,77,R,23,R,30,R,222,R,0,Z,0,R,222,R,64,R,29,31,R
105677,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,6,R
105747,R,462,R,2418,R,19,R,484,R,0,Z,0,R,484,R,311,R,64,R,259,R,0,Z,0,R,259,R,118,R,46,19,R
105792,R,386,R,1281,R,30,R,444,R,0,Z,0,R,444,R,267,R,60,R,251,R,0,Z,0,R,251,R,81,R,32,19,R
105899,R,153,R,361,R,42,R,152,R,0,R,0,R,152,R,90,R,59,R,0,R,0,R,0,R,0,R,0,A,,14,R
106041,A,,A,,A,,R,433,R,2,R,0,R,431,R,339,R,79,A,,A,,A,,A,,A,,A,,37,R
106111,A,,A,,A,,R,40,R,0,Z,0,R,40,R,22,R,55,R,9,R,0,Z,0,R,9,R,7,R,78,16,R
106148,R,508,R,2387,R,21,R,527,R,0,R,0,R,527,R,308,R,58,R,598,R,6,Z,0,R,592,R,257,R,43,18,R
106245,R,557,R,2227,R,25,R,717,R,0,R,0,R,717,R,485,R,68,R,45,R,0,R,0,R,45,R,18,R,40,12,R
106263,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,10,R
106306,R,176,R,267,R,66,R,14,R,0,R,0,R,14,R,7,R,50,R,1,R,0,R,0,R,1,R,0,R,0,23,R
106315,A,,A,,A,,R,25,R,0,R,0,R,25,R,19,R,76,A,,A,,A,,A,,A,,A,,20,R
106324,A,,A,,A,,R,20,R,0,R,0,R,20,R,17,R,85,R,1,R,0,R,0,R,1,R,0,R,0,4,R
106342,R,215,R,255,R,84,R,190,R,1,R,0,R,189,R,135,R,71,A,,A,,A,,A,,A,,A,,10,R
106351,A,,A,,A,,R,15,R,0,R,0,R,15,R,9,R,60,A,,A,,A,,A,,A,,A,,20,R
106360,A,,A,,A,,R,9,R,0,Z,0,R,9,R,4,R,44,A,,A,,A,,A,,A,,A,,13,R
106397,R,4977,R,6512,R,76,R,5032,R,1,Z,0,R,5031,R,4216,R,84,R,33,R,0,Z,0,R,33,R,24,R,73,18,R
106412,R,563,R,704,R,80,R,507,R,1,Z,0,R,506,R,356,R,70,R,7,R,0,Z,0,R,7,R,1,R,14,15,R
106449,R,661,R,962,R,69,R,730,R,1,R,0,R,729,R,478,R,66,R,97,R,0,R,0,R,97,R,33,R,34,17,R
106458,R,1525,R,2391,R,64,R,1405,R,1,R,0,R,1404,R,1074,R,76,R,22,R,0,R,0,R,22,R,7,R,32,18,R
106467,R,1633,R,2124,R,77,R,1514,Z,0,Z,0,R,1514,R,1065,R,70,R,24,Z,0,Z,0,R,24,R,12,R,50,18,R
106485,R,552,R,852,R,65,R,337,R,0,R,0,R,337,R,207,R,61,R,5,R,0,R,0,R,5,R,3,R,60,14,R
106494,A,,A,,A,,R,28,R,1,Z,0,R,27,R,13,R,48,A,,A,,A,,A,,A,,A,,12,R
106546,R,3,R,230,R,1,R,7,R,0,R,0,R,7,R,6,R,86,A,,A,,A,,A,,A,,A,,10,R
106625,R,316,R,570,R,55,R,309,Z,0,Z,0,R,309,R,144,R,47,R,45,Z,0,Z,0,R,45,R,18,R,40,15,R
106704,R,2023,R,2702,R,75,R,1927,R,0,R,0,R,1927,R,1427,R,74,R,10,R,0,R,0,R,10,R,4,R,40,15,R
106713,R,127,R,246,R,52,R,136,R,0,R,0,R,136,R,73,R,54,R,0,R,0,R,0,R,0,R,0,A,,11,R
106795,R,174,R,603,R,29,R,213,R,0,R,0,R,213,R,128,R,60,R,86,R,0,R,0,R,86,R,29,R,34,16,R
106810,R,53,R,87,R,61,R,23,R,1,R,0,R,22,R,9,R,41,R,0,R,0,R,0,R,0,R,0,A,,8,R
106829,A,,A,,A,,R,66,R,0,R,0,R,66,R,32,R,48,R,10,R,0,R,0,R,10,R,6,R,60,6,R
106883,R,179,R,551,R,32,R,130,R,0,R,0,R,130,R,73,R,56,R,19,R,0,R,0,R,19,R,9,R,47,9,R
106892,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,13,R
106908,A,,A,,A,,R,64,R,0,R,0,R,64,R,46,R,72,R,4,Z,0,Z,0,R,4,R,4,R,100,11,R
106980,R,238,R,605,R,39,R,430,R,2,R,0,R,428,R,231,R,54,R,129,R,0,R,0,R,129,R,32,R,25,19,R
106999,R,237,R,424,R,56,R,243,R,0,R,0,R,243,R,153,R,63,R,25,R,0,R,0,R,25,R,8,R,32,17,R
107044,R,856,R,1004,R,85,R,944,R,0,R,0,R,944,R,799,R,85,R,1,R,0,R,0,R,1,R,1,R,100,16,R
107071,R,842,R,1485,R,57,R,615,R,0,R,0,R,615,R,396,R,64,R,2,R,0,R,0,R,2,R,0,R,0,14,R
107080,R,309,R,329,R,94,R,338,R,0,R,0,R,338,R,290,R,86,A,,A,,A,,A,,A,,A,,10,R
107099,A,,A,,A,,R,2,R,0,R,0,R,2,R,2,R,100,A,,A,,A,,A,,A,,A,,12,R
107123,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,8,R
107141,R,319,R,687,R,46,R,326,R,1,Z,0,R,325,R,260,R,80,A,,A,,A,,A,,A,,A,,14,R
107220,A,,A,,A,,R,156,R,0,R,0,R,156,R,122,R,78,A,,A,,A,,A,,A,,A,,9,R
107293,A,,A,,A,,R,11,R,0,R,0,R,11,R,7,R,64,A,,A,,A,,A,,A,,A,,27,R
107318,R,116,R,586,R,20,R,118,R,0,R,0,R,118,R,53,R,45,R,72,R,0,R,0,R,72,R,18,R,25,11,R
107327,R,187,R,490,R,38,R,188,R,0,R,0,R,188,R,105,R,56,R,52,R,0,R,0,R,52,R,22,R,42,15,R
107442,A,,A,,A,,R,5,R,0,R,0,R,5,R,4,R,80,A,,A,,A,,A,,A,,A,,20,R
107460,R,375,R,578,R,65,R,409,R,0,R,0,R,409,R,221,R,54,R,52,R,0,R,0,R,52,R,24,R,46,14,R
107488,A,,A,,A,,R,147,R,0,R,0,R,147,R,57,R,39,R,6,R,0,R,0,R,6,R,1,R,17,6,R
107512,R,443,R,686,R,65,R,445,R,0,Z,0,R,445,R,370,R,83,R,0,R,0,R,0,R,0,R,0,A,,12,R
107521,R,75,R,220,R,34,R,110,R,0,R,0,R,110,R,54,R,49,R,20,R,0,R,0,R,20,R,8,R,40,11,R
107549,R,155,R,489,R,32,R,196,R,1,Z,0,R,195,R,154,R,79,R,40,Z,0,Z,0,R,40,R,14,R,35,14,R
107558,R,273,R,329,R,83,R,259,R,0,R,0,R,259,R,195,R,75,R,0,R,0,R,0,R,0,R,0,A,,15,R
107585,R,357,R,783,R,46,R,418,R,2,R,0,R,416,R,236,R,57,R,116,R,0,R,0,R,116,R,55,R,47,22,R
107600,R,294,R,388,R,76,R,328,R,0,R,0,R,328,R,225,R,69,R,4,R,0,R,0,R,4,R,2,R,50,16,R
107619,R,174,R,280,R,62,R,116,R,0,R,0,R,116,R,63,R,54,R,8,R,0,R,0,R,8,R,3,R,38,13,R
107637,R,146,R,393,R,37,R,172,Z,0,Z,0,R,172,R,91,R,53,R,63,Z,0,Z,0,R,63,R,22,R,35,13,R
107655,A,,A,,A,,R,6,R,0,R,0,R,6,R,4,R,67,A,,A,,A,,A,,A,,A,,15,R
107664,R,644,R,1768,R,36,R,501,R,0,R,0,R,501,R,274,R,55,R,381,R,0,R,0,R,381,R,197,R,52,17,R
107725,R,214,R,353,R,61,R,212,R,0,R,0,R,212,R,127,R,60,R,65,R,0,R,0,R,65,R,30,R,46,16,R
107743,R,116,R,308,R,38,R,124,R,0,R,0,R,124,R,71,R,57,R,31,R,0,Z,0,R,31,R,18,R,58,19,R
107789,A,,A,,A,,R,19,R,0,R,0,R,19,R,15,R,79,R,1,R,0,R,0,R,1,R,1,R,100,25,R
107831,A,,A,,A,,R,13,Z,0,Z,0,R,13,R,8,R,62,A,,A,,A,,A,,A,,A,,20,R
107840,R,107,R,284,R,38,R,78,R,0,R,0,R,78,R,0,R,0,R,42,R,0,R,0,R,42,R,6,R,14,16,R
107877,R,156,R,218,R,72,R,142,R,0,R,0,R,142,R,74,R,52,A,,A,,A,,A,,A,,A,,14,R
107974,R,157,R,589,R,27,R,152,R,0,Z,0,R,152,R,76,R,50,R,29,Z,0,Z,0,R,29,R,15,R,52,15,R
107983,R,890,R,1105,R,81,R,858,R,1,R,0,R,857,R,560,R,65,R,12,R,0,R,0,R,12,R,4,R,33,17,R
107992,R,170,R,362,R,47,R,168,R,1,R,0,R,167,R,115,R,69,R,40,R,0,R,0,R,40,R,16,R,40,13,R
108065,A,,A,,A,,R,8,R,0,R,0,R,8,R,6,R,75,R,2,R,0,R,0,R,2,R,2,R,100,12,R
108092,R,998,R,1439,R,69,R,756,R,0,R,0,R,756,R,483,R,64,R,52,R,0,R,4,R,56,R,28,R,50,17,R
108232,R,338,R,1685,R,20,R,457,R,0,R,0,R,457,R,358,R,78,R,255,R,0,R,0,R,255,R,103,R,40,14,R
108348,A,,A,,A,,R,13,R,0,R,0,R,13,R,10,R,77,A,,A,,A,,A,,A,,A,,3,R
108649,A,,A,,A,,R,84,R,0,R,0,R,84,R,69,R,82,A,,A,,A,,A,,A,,A,,22,R
108667,R,280,R,2711,R,10,R,199,R,0,R,0,R,199,R,130,R,65,R,423,R,0,R,0,R,423,R,141,R,33,27,R
108807,R,1077,R,3283,R,33,R,770,R,0,R,0,R,770,R,574,R,75,R,721,R,0,R,0,R,721,R,350,R,49,22,R
108852,R,79,R,108,R,73,R,113,R,0,R,0,R,113,R,89,R,79,A,,A,,A,,A,,A,,A,,14,R
108977,A,,A,,A,,R,11,R,0,R,0,R,11,R,9,R,82,R,7,R,0,R,0,R,7,R,6,R,86,25,R
109040,A,,A,,A,,R,218,R,0,R,0,R,218,R,154,R,71,A,,A,,A,,A,,A,,A,,42,R
109086,A,,A,,A,,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,6,R
109208,R,1456,R,9281,R,16,R,1270,R,0,R,0,R,1270,R,899,R,71,R,2340,R,0,R,0,R,2340,R,1231,R,53,27,R
109350,R,1134,R,3667,R,31,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,23,R
109651,R,239,R,430,R,56,R,223,R,3,Z,0,R,220,R,182,R,83,A,,A,,A,,A,,A,,A,,8,R
109721,A,,A,,A,,R,386,R,0,R,0,R,386,R,251,R,65,A,,A,,A,,A,,A,,A,,24,R
109730,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,15,R
109785,R,998,R,1429,R,70,R,996,R,0,R,0,R,996,R,811,R,81,R,9,R,0,R,0,R,9,R,2,R,22,11,R
109819,R,2214,R,7888,R,28,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,30,R
109907,R,279,R,1159,R,24,R,278,R,0,R,0,R,278,R,181,R,65,R,157,R,0,R,0,R,157,R,45,R,29,25,R
109934,A,,A,,A,,R,39,R,0,R,0,R,39,R,32,R,82,A,,A,,A,,A,,A,,A,,16,R
110060,R,28,R,68,R,41,R,64,R,0,R,0,R,64,R,24,R,38,R,14,R,0,R,0,R,14,R,5,R,36,7,R
110097,R,857,R,1131,R,76,R,890,R,0,R,0,R,890,R,765,R,86,R,1,R,0,R,0,R,1,R,1,R,100,14,R
110194,A,,A,,A,,R,37,R,0,R,0,R,37,R,36,R,97,A,,A,,A,,A,,A,,A,,10,R
110219,R,180,R,258,R,70,R,74,R,0,R,0,R,74,R,33,R,45,A,,A,,A,,A,,A,,A,,28,R
110246,R,1305,R,3370,R,39,R,1194,R,0,R,0,R,1194,R,878,R,74,R,668,R,0,R,0,R,668,R,316,R,47,21,R
110316,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,12,R
110334,R,938,R,2692,R,35,R,911,R,0,R,0,R,911,R,658,R,72,R,554,R,0,R,0,R,554,R,275,R,50,21,R
110361,R,1567,R,2497,R,63,R,1375,R,1,R,0,R,1374,R,1048,R,76,R,37,R,0,R,0,R,37,R,13,R,35,14,R
110370,R,263,R,385,R,68,R,235,Z,0,Z,0,R,235,R,190,R,81,A,,A,,A,,A,,A,,A,,11,R
110404,R,231,R,233,R,99,R,235,R,0,Z,0,R,235,R,230,R,98,A,,A,,A,,A,,A,,A,,3,R
110413,R,681,R,982,R,69,R,585,R,0,R,0,R,585,R,484,R,83,A,,A,,A,,A,,A,,A,,16,R
110422,R,4383,R,5309,R,83,R,5241,Z,0,Z,0,R,5241,R,4935,R,94,R,12,Z,0,Z,0,R,12,R,11,R,92,21,R
110468,A,,A,,A,,R,9,R,0,R,0,R,9,R,6,R,67,R,0,R,0,R,0,R,0,R,0,A,,13,R
110486,R,1466,R,2903,R,50,R,1383,Z,0,Z,0,R,1383,R,1076,R,78,R,53,Z,0,Z,0,R,53,R,29,R,55,24,R
110495,R,1508,R,2597,R,58,R,1362,Z,0,Z,0,R,1362,R,1111,R,82,R,59,Z,0,Z,0,R,59,R,32,R,54,22,R
110510,R,2654,R,5407,R,49,R,2483,Z,0,Z,0,R,2483,R,2142,R,86,R,34,Z,0,Z,0,R,34,R,14,R,41,29,R
110529,R,3776,R,7821,R,48,R,3668,Z,0,Z,0,R,3668,R,3177,R,87,R,118,Z,0,Z,0,R,118,R,72,R,61,28,R
110538,R,2687,R,4408,R,61,R,2769,Z,0,Z,0,R,2769,R,2355,R,85,R,36,Z,0,Z,0,R,36,R,18,R,50,24,R
110547,R,1970,R,5027,R,39,R,1635,Z,0,Z,0,R,1635,R,1279,R,78,R,43,Z,0,Z,0,R,43,R,15,R,35,25,R
